Fecha_Hora (yyyy-mm-dd hh:mm:ss);Satelite;AODnm;valor_AOD;estacion_pm
02/01/2010 17:55;A;470;0.25020656;LBO
02/01/2010 17:55;A;470;0.209387332;CEN
02/01/2010 17:55;A;470;0.185891047;COR
02/01/2010 17:55;A;470;0.192070946;PAL
02/01/2010 17:55;A;470;0.097233847;LMA
02/01/2010 17:55;A;470;0.085138768;DKS
02/01/2010 17:55;A;470;NA;BB1
02/01/2010 17:55;A;470;NA;BB2
05/01/2010 18:25;A;470;0.118762694;LBO
05/01/2010 18:25;A;470;0.154055536;CEN
05/01/2010 18:25;A;470;0.118925348;COR
05/01/2010 18:25;A;470;0.126140937;PAL
05/01/2010 18:25;A;470;0.090459287;LMA
05/01/2010 18:25;A;470;0.071787789;DKS
05/01/2010 18:25;A;470;NA;BB1
05/01/2010 18:25;A;470;NA;BB2
06/01/2010 17:30;A;470;0.208278105;LBO
06/01/2010 17:30;A;470;0.146719813;CEN
06/01/2010 17:30;A;470;0.184053391;COR
06/01/2010 17:30;A;470;0.169577092;PAL
06/01/2010 17:30;A;470;0.07985463;LMA
06/01/2010 17:30;A;470;0.042893425;DKS
06/01/2010 17:30;A;470;NA;BB1
06/01/2010 17:30;A;470;NA;BB2
07/01/2010 18:15;A;470;0.189693078;LBO
07/01/2010 18:15;A;470;0.218076706;CEN
07/01/2010 18:15;A;470;0.203232557;COR
07/01/2010 18:15;A;470;0.208843976;PAL
07/01/2010 18:15;A;470;0.155586064;LMA
07/01/2010 18:15;A;470;0.119623907;DKS
07/01/2010 18:15;A;470;NA;BB1
07/01/2010 18:15;A;470;NA;BB2
08/01/2010 17:20;A;470;0.201290444;LBO
08/01/2010 17:20;A;470;0.184030116;CEN
08/01/2010 17:20;A;470;0.196092933;COR
08/01/2010 17:20;A;470;0.216000006;PAL
08/01/2010 17:20;A;470;0.21414803;LMA
08/01/2010 17:20;A;470;0.202192962;DKS
08/01/2010 17:20;A;470;NA;BB1
08/01/2010 17:20;A;470;NA;BB2
09/01/2010 18:00;A;470;0.108530134;LBO
09/01/2010 18:00;A;470;0.178323969;CEN
09/01/2010 18:00;A;470;0.16882813;COR
09/01/2010 18:00;A;470;0.172698438;PAL
09/01/2010 18:00;A;470;0.201190174;LMA
09/01/2010 18:00;A;470;0.25223884;DKS
09/01/2010 18:00;A;470;NA;BB1
09/01/2010 18:00;A;470;NA;BB2
11/01/2010 17:50;A;470;0.090062328;LBO
11/01/2010 17:50;A;470;0.038484171;CEN
11/01/2010 17:50;A;470;0.028591534;COR
11/01/2010 17:50;A;470;0.037821371;PAL
11/01/2010 17:50;A;470;0.105537727;LMA
11/01/2010 17:50;A;470;0.029200118;DKS
11/01/2010 17:50;A;470;NA;BB1
11/01/2010 17:50;A;470;NA;BB2
12/01/2010 18:30;A;470;0.060069483;LBO
12/01/2010 18:30;A;470;0.119705848;CEN
12/01/2010 18:30;A;470;0.234345689;COR
12/01/2010 18:30;A;470;0.292581648;PAL
12/01/2010 18:30;A;470;0.035427976;LMA
12/01/2010 18:30;A;470;0.027693056;DKS
12/01/2010 18:30;A;470;NA;BB1
12/01/2010 18:30;A;470;NA;BB2
13/01/2010 17:35;A;470;0.201465473;LBO
13/01/2010 17:35;A;470;0.144527569;CEN
13/01/2010 17:35;A;470;0.230309144;COR
13/01/2010 17:35;A;470;0.158624202;PAL
13/01/2010 17:35;A;470;0.089591801;LMA
13/01/2010 17:35;A;470;0.069245957;DKS
13/01/2010 17:35;A;470;NA;BB1
13/01/2010 17:35;A;470;NA;BB2
14/01/2010 18:20;A;470;0.052200139;LBO
14/01/2010 18:20;A;470;0.097920291;CEN
14/01/2010 18:20;A;470;0.095008463;COR
14/01/2010 18:20;A;470;0.103993811;PAL
14/01/2010 18:20;A;470;0.03696616;LMA
14/01/2010 18:20;A;470;0.028843904;DKS
14/01/2010 18:20;A;470;NA;BB1
14/01/2010 18:20;A;470;NA;BB2
15/01/2010 17:25;A;470;0.293875873;LBO
15/01/2010 17:25;A;470;0.3311342;CEN
15/01/2010 17:25;A;470;0.308990955;COR
15/01/2010 17:25;A;470;0.306596398;PAL
15/01/2010 17:25;A;470;0.127946034;LMA
15/01/2010 17:25;A;470;0.092862844;DKS
15/01/2010 17:25;A;470;NA;BB1
15/01/2010 17:25;A;470;NA;BB2
17/01/2010 17:10;A;470;0.22250098;LBO
17/01/2010 17:10;A;470;0.227876678;CEN
17/01/2010 17:10;A;470;0.228104889;COR
17/01/2010 17:10;A;470;0.228504181;PAL
17/01/2010 17:10;A;470;0.132627711;LMA
17/01/2010 17:10;A;470;0.134990245;DKS
17/01/2010 17:10;A;470;NA;BB1
17/01/2010 17:10;A;470;NA;BB2
20/01/2010 17:40;A;470;0.039250392;LBO
20/01/2010 17:40;A;470;0.090574488;CEN
20/01/2010 17:40;A;470;0.038986072;COR
20/01/2010 17:40;A;470;0.048858333;PAL
20/01/2010 17:40;A;470;0.126216233;LMA
20/01/2010 17:40;A;470;0.109918043;DKS
20/01/2010 17:40;A;470;NA;BB1
20/01/2010 17:40;A;470;NA;BB2
21/01/2010 18:25;A;470;0.128963575;LBO
21/01/2010 18:25;A;470;0.141305327;CEN
21/01/2010 18:25;A;470;0.132538021;COR
21/01/2010 18:25;A;470;0.124426432;PAL
21/01/2010 18:25;A;470;0.037104126;LMA
21/01/2010 18:25;A;470;0.037654459;DKS
21/01/2010 18:25;A;470;NA;BB1
21/01/2010 18:25;A;470;NA;BB2
22/01/2010 17:30;A;470;0.407053024;LBO
22/01/2010 17:30;A;470;0.372123897;CEN
22/01/2010 17:30;A;470;0.408015966;COR
22/01/2010 17:30;A;470;0.376356483;PAL
22/01/2010 17:30;A;470;0.17204164;LMA
22/01/2010 17:30;A;470;0.127215609;DKS
