"k0","year","","","hh","mm","fecha","variables","files"
"4","2010","1","1","18","0","2010-01-01 18:00:00","PS","MERRA2.2010001.180.resampled.PS.tif"
"4","2010","1","1","18","0","2010-01-01 18:00:00","RH","MERRA2.2010001.180.resampled.RH.tif"
"4","2010","1","1","18","0","2010-01-01 18:00:00","T","MERRA2.2010001.180.resampled.T.tif"
"4","2010","1","1","18","0","2010-01-01 18:00:00","U","MERRA2.2010001.180.resampled.U.tif"
"4","2010","1","1","18","0","2010-01-01 18:00:00","V","MERRA2.2010001.180.resampled.V.tif"
"4","2010","1","2","15","0","2010-01-02 15:00:00","PS","MERRA2.2010002.150.resampled.PS.tif"
"4","2010","1","2","15","0","2010-01-02 15:00:00","RH","MERRA2.2010002.150.resampled.RH.tif"
"4","2010","1","2","15","0","2010-01-02 15:00:00","T","MERRA2.2010002.150.resampled.T.tif"
"4","2010","1","2","15","0","2010-01-02 15:00:00","U","MERRA2.2010002.150.resampled.U.tif"
"4","2010","1","2","15","0","2010-01-02 15:00:00","V","MERRA2.2010002.150.resampled.V.tif"
"4","2010","1","2","18","0","2010-01-02 18:00:00","PS","MERRA2.2010002.180.resampled.PS.tif"
"4","2010","1","2","18","0","2010-01-02 18:00:00","RH","MERRA2.2010002.180.resampled.RH.tif"
"4","2010","1","2","18","0","2010-01-02 18:00:00","T","MERRA2.2010002.180.resampled.T.tif"
"4","2010","1","2","18","0","2010-01-02 18:00:00","U","MERRA2.2010002.180.resampled.U.tif"
"4","2010","1","2","18","0","2010-01-02 18:00:00","V","MERRA2.2010002.180.resampled.V.tif"
"4","2010","1","3","18","0","2010-01-03 18:00:00","PS","MERRA2.2010003.180.resampled.PS.tif"
"4","2010","1","3","18","0","2010-01-03 18:00:00","RH","MERRA2.2010003.180.resampled.RH.tif"
"4","2010","1","3","18","0","2010-01-03 18:00:00","T","MERRA2.2010003.180.resampled.T.tif"
"4","2010","1","3","18","0","2010-01-03 18:00:00","U","MERRA2.2010003.180.resampled.U.tif"
"4","2010","1","3","18","0","2010-01-03 18:00:00","V","MERRA2.2010003.180.resampled.V.tif"
"4","2010","1","4","18","0","2010-01-04 18:00:00","PS","MERRA2.2010004.180.resampled.PS.tif"
"4","2010","1","4","18","0","2010-01-04 18:00:00","RH","MERRA2.2010004.180.resampled.RH.tif"
"4","2010","1","4","18","0","2010-01-04 18:00:00","T","MERRA2.2010004.180.resampled.T.tif"
"4","2010","1","4","18","0","2010-01-04 18:00:00","U","MERRA2.2010004.180.resampled.U.tif"
"4","2010","1","4","18","0","2010-01-04 18:00:00","V","MERRA2.2010004.180.resampled.V.tif"
"4","2010","1","5","18","0","2010-01-05 18:00:00","PS","MERRA2.2010005.180.resampled.PS.tif"
"4","2010","1","5","18","0","2010-01-05 18:00:00","RH","MERRA2.2010005.180.resampled.RH.tif"
"4","2010","1","5","18","0","2010-01-05 18:00:00","T","MERRA2.2010005.180.resampled.T.tif"
"4","2010","1","5","18","0","2010-01-05 18:00:00","U","MERRA2.2010005.180.resampled.U.tif"
"4","2010","1","5","18","0","2010-01-05 18:00:00","V","MERRA2.2010005.180.resampled.V.tif"
"4","2010","1","6","18","0","2010-01-06 18:00:00","PS","MERRA2.2010006.180.resampled.PS.tif"
"4","2010","1","6","18","0","2010-01-06 18:00:00","RH","MERRA2.2010006.180.resampled.RH.tif"
"4","2010","1","6","18","0","2010-01-06 18:00:00","T","MERRA2.2010006.180.resampled.T.tif"
"4","2010","1","6","18","0","2010-01-06 18:00:00","U","MERRA2.2010006.180.resampled.U.tif"
"4","2010","1","6","18","0","2010-01-06 18:00:00","V","MERRA2.2010006.180.resampled.V.tif"
"4","2010","1","7","18","0","2010-01-07 18:00:00","PS","MERRA2.2010007.180.resampled.PS.tif"
"4","2010","1","7","18","0","2010-01-07 18:00:00","RH","MERRA2.2010007.180.resampled.RH.tif"
"4","2010","1","7","18","0","2010-01-07 18:00:00","T","MERRA2.2010007.180.resampled.T.tif"
